Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0652,3.735684824252967,0.0768,4.400315866604722,0.2014,11.539369993934779,0.1145,6.5603667542479265
D2,0.0521,2.985110112631589,0.0614,3.517960862103255,0.2185,12.519127823608487,0.1107,6.342642792098213
D3,0.0894,5.1222426884695595,0.1042,5.970220225263178,0.2461,14.10049133816956,0.1466,8.399561276617868
D4,0.142,8.136000690857689,0.1685,9.654338847954373,0.6912,39.602842799442506,0.3339,19.131060779418185
D5,1.4581,83.54297610802533,0.1842,10.553882586309763,0.7245,41.51079225722815,0.7889,45.20064045787065
D6,0.1384,7.929735884610594,0.1512,8.663121862378047,0.452,25.89769233991321,0.2472,14.16351669563395
OVERALL_MEAN,0.3242,18.575291718141287,0.12438333333333335,7.126640041768891,0.42228333333333334,24.195052758716113,0.29030000000000006,16.6329647926478
