Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0556,3.185645340927377,0.0645,3.69557777859381,0.1775,10.170000863572112,0.0992,5.683741327697766
D2,0.0438,2.5095551426730056,0.0518,2.9679213787776644,0.192,11.000789666511807,0.0959,5.494665255304595
D3,0.0772,4.423234178409956,0.0901,5.162349734128718,0.219,12.547775713365029,0.1288,7.3796964012850035
D4,0.1235,7.076028769865667,0.146,8.365183808910018,0.628,35.9817495342157,0.2992,17.142897230314233
D5,1.312,75.17206272116401,0.1615,9.253268391362795,0.658,37.70062291960817,0.7105,40.708651344044995
D6,0.1192,6.829656917959413,0.131,7.505747116213785,0.4092,23.44543297675329,0.2198,12.593612336975495
OVERALL_MEAN,0.28855000000000003,16.532697178499905,0.10748333333333333,6.1583413679977985,0.3806166666666666,21.80772861233768,0.2589,14.833877315937015
