Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0273,1.5641747807071475,0.0369,2.114214264032738,0.1187,6.801009028202872,0.061,3.4950425502980216
D2,0.0307,1.7589804310516275,0.0285,1.6329297161228462,0.0651,3.7299552463016594,0.0414,2.3720452718416083
D3,0.0513,2.939273489021123,0.0211,1.208940947726037,0.1123,6.434316039319144,0.0615,3.523690440054563
D4,0.3797,21.755207481117356,0.0317,1.8162762105647097,0.3548,20.32854257124161,0.2554,14.633342087641227
D5,0.1849,10.593989631968922,0.0452,2.589769233991321,0.288,16.501184499767707,0.1727,9.894981121909316
D6,1.817,104.10643137527057,0.1765,10.11270508405903,1.7822,102.11253824821532,1.2586,72.11246809516541
OVERALL_MEAN,0.41514999999999996,23.786342864856124,0.05665,3.2458059094161134,0.4535166666666666,25.984590938841382,0.30843333333333334,17.67192826115169
