Dataset,Exp 10 (Base Code),Exp 10.a (Denser+Huber),Exp 10.b (Gyro Skip+DynW),Exp 10.c (Optimal Sweep)
D1,2.83,3.493599483258885,4.9376430650048775,3.8478147969701895
D2,2.35,2.3740985035182423,2.407174288521748,2.5989755131952914
D3,3.83,3.526278143113633,4.02149087821996,5.270462040092572
D4,4.81,14.633155155849474,13.455567956968949,16.677348592928144
D5,7.97,9.89428589865446,9.467467966755123,10.324835017070187
D6,6.58,72.11133402020498,71.04535827526838,67.44584951334384
OVERALL MEAN,4.728333333333333,17.67212520076661,17.55578373845651,17.694214245600037
