Experiment,RMSE_Phi,RMSE_Theta,RMSE_Psi,Avg_RMSE
Exp8_BiLSTM_Dense,0.2968848333333333,0.06291799999999999,0.3108948333333333,0.22356600000000001
Exp5_Output_Normalization,0.29915483333333337,0.072739,0.3349088333333334,0.23560099999999998
Exp6_Sliding_Window,0.26942,0.08870649999999998,0.37440366666666663,0.24417683333333332
Exp4_Bidirectional,0.3143373333333333,0.07186566666666667,0.356979,0.24772733333333333
Exp3_Deeper_Arch,0.2792695,0.10169850000000001,0.3928206666666667,0.2579295
Exp7_Combined_Best,0.36465549999999997,0.085256,0.3331928333333333,0.2610346666666667
Exp2_Hyperparam_Tuned,0.34743816666666666,0.087976,0.40713333333333335,0.28084916666666665
Exp1_Baseline_Fixed,0.4386563333333333,0.07478066666666666,0.357548,0.2903285
