Dataset,Samples,Roll_RMSE_rad,Roll_RMSE_deg,Roll_MaxErr_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Pitch_MaxErr_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,Yaw_MaxErr_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,17219,0.032539021533766255,1.864348603370109,8.4094715,0.03607424454876566,2.066901961767089,10.478434,0.12995475554833627,7.4458590205739865,22.085518,0.06618934054362273,3.7923698619037283
D2,11399,0.03944294409829607,2.2599142284028035,11.481826,0.04212222231313782,2.4134255622545813,7.736321,0.07481847504029192,4.286782849413619,15.606709,0.0521278804839086,2.986707546690335
D3,11429,0.06248808165996059,3.580303348984585,15.6947975,0.035093139918812695,2.0106888072100397,5.27837,0.17952150472779804,10.285824552740683,18.211716,0.09236757543552376,5.29227223631177
D4,14397,0.42109574651864107,24.12700904642886,58.111725,0.0465326273143003,2.6661231547645823,6.7403994,0.40823833185984454,23.390333451030184,57.385765,0.29195556856426197,16.727821884074544
D5,22249,0.20788917381872493,11.91117226627451,37.332626,0.06520643149721504,3.7360533218993397,7.7182627,0.3289308756219805,18.8463509246821,55.30387,0.20067549364597348,11.49785883761865
D6,34859,0.860491253080803,49.30251710945361,131.62567,0.22783582596739677,13.054031249808961,73.532974,0.8624648639875172,49.41559668480932,179.07889,0.6502639810119056,37.257381681357295
