Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0349,1.9996227050065731,0.1075,6.15929629765635,0.1161,6.652040001468857,0.0862,4.938896194027696
D2,0.0283,1.6214705602202297,0.0364,2.0855663742761967,0.0613,3.5122312841519463,0.042,2.4064227395494577
D3,0.0483,2.7673861504818764,0.0345,1.9767043932013404,0.1277,7.316671043820613,0.0702,4.022163721818379
D4,0.3399,19.47483545649668,0.0345,1.9767043932013404,0.3301,18.913336817268476,0.2348,13.45304902967173
D5,0.181,10.3705360918679,0.0469,2.6871720591635606,0.2679,15.349539331554755,0.1652,9.4652627755612
D6,1.799,103.07510734403509,0.172,9.854874076250159,1.7489,100.20458879042967,1.24,71.04676659622208
OVERALL_MEAN,0.40523333333333333,23.21815971801806,0.07196666666666666,4.123386265624824,0.442,25.324734544782388,0.3064,17.555426842808423
