Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0589,3.374721413320549,0.0685,3.9247608966461396,0.1882,10.783065704362093,0.1052,6.027516004776261
D2,0.0465,2.664253747358328,0.0549,3.1455382952682194,0.2041,11.694068598620103,0.1018,5.83271035443178
D3,0.0818,4.686794764170134,0.0954,5.466017365548054,0.2318,13.281161691132482,0.1363,7.809414747633121
D4,0.1315,7.5343950059703255,0.1552,8.892304980430376,0.6621,37.935535615611805,0.3163,18.12265505998794
D5,1.398,80.09949975928909,0.1712,9.809037452639693,0.698,39.99245410013146,0.7557,43.298420578036314
D6,0.1268,7.265104842258839,0.1395,7.992761242074985,0.432,24.75177674965156,0.2328,13.338457470645565
OVERALL_MEAN,0.30724999999999997,17.604128255394542,0.11411666666666669,6.538403372101246,0.4027,23.07301040991825,0.2746833333333334,15.738195702585166
