Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0468,2.681442481212253,0.0551,3.1569974511708363,0.1528,8.754795109598978,0.0849,4.864411680660689
D2,0.037,2.1199438419840457,0.0438,2.5095551426730056,0.1655,9.482451509415124,0.0821,4.703983498024059
D3,0.0655,3.7528735581068924,0.0768,4.400315866604722,0.1885,10.800254438216017,0.1103,6.3197244802929795
D4,0.1052,6.027516004776261,0.1245,7.13332454937875,0.545,31.226199834629867,0.2582,14.793770270277856
D5,1.135,65.03070974734844,0.1375,7.87816968304882,0.578,33.11696055856158,0.6168,35.34003680366918
D6,0.1015,5.815521620577856,0.112,6.41712730546522,0.354,20.28270594763114,0.1892,10.840361483875176
OVERALL_MEAN,0.24849999999999997,14.238001209000956,0.09161666666666668,5.249248333056893,0.33063333333333333,18.94389456634212,0.22358333333333333,12.810381369466656
