window_size,loss_function,mean_rmse_rad,mean_rmse_deg
16,huber,0.1280332737522713,7.335766223248247
24,mse,0.1298042293988583,7.437234507502543
20,huber,0.13013942647210233,7.456439885104564
16,log_cosh,0.1303239951540273,7.467014891609157
24,log_cosh,0.1303550073180215,7.468791757719592
12,huber,0.1305953892482693,7.482564627794
12,mse,0.13174186505129126,7.54825285262103
12,log_cosh,0.13182403031146975,7.552960575251851
16,mse,0.1319224491358956,7.558599558516092
24,huber,0.13258164397608616,7.596368640735811
20,mse,0.1328919397718692,7.614147280234833
20,log_cosh,0.1354013948630217,7.757928465835488
