Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0638,3.655470732934652,0.0745,4.268535573724633,0.1982,11.356023499492915,0.1122,6.4285864613678365
D2,0.0505,2.8934368654106577,0.0598,3.4262876148823227,0.214,12.261296815799616,0.1081,6.193673765364199
D3,0.0872,4.996191973540778,0.1015,5.815521620577856,0.2425,13.894226531922463,0.1437,8.233403516029929
D4,0.1388,7.952654196415827,0.1642,9.407966996048119,0.682,39.07572162792215,0.3283,18.810204414144927
D5,1.435,82.21944360127314,0.1805,10.34188820211136,0.716,41.02377813136694,0.7772,44.53027983756758
D6,0.1345,7.706282344509573,0.1478,8.468316212033567,0.4465,25.58256555259126,0.2429,13.917144843727696
OVERALL_MEAN,0.3183,18.237246619014105,0.12138333333333333,6.954752703229643,0.41653333333333326,23.865602026515887,0.28540000000000004,16.3522154730337
