Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0238,1.3636395524113594,0.0375,2.148591731740587,0.0871,4.9904623955894705,0.0495,2.8361410858975753
D2,0.0205,1.1745634800181877,0.0318,1.822005788516018,0.071,4.068000345428844,0.0411,2.354856537987683
D3,0.0398,2.2803720246206765,0.0495,2.8361410858975753,0.1112,6.371290681854754,0.0668,3.827358071473899
D4,0.0482,2.7616565725305677,0.0615,3.523690440054563,0.142,8.136000690857689,0.0839,4.807115901147607
D5,0.1648,9.442344463755967,0.0745,4.268535573724633,0.178,10.198648753328653,0.1391,7.969842930269751
D6,0.0595,3.409098881028398,0.0712,4.079459501331462,0.214,12.261296815799616,0.1149,6.583285066053159
OVERALL_MEAN,0.05943333333333334,3.405279162394193,0.05433333333333334,3.113070686877473,0.13388333333333333,7.670949947143171,0.08255,4.729766598804946
