Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0611,3.50077212824933,0.0712,4.079459501331462,0.1945,11.144029115294511,0.1089,6.239510388974665
D2,0.0489,2.8017636181897254,0.0573,3.2830481660996167,0.2104,12.055032009552521,0.1055,6.044704738630185
D3,0.0841,4.818575057050223,0.0988,5.660823015892533,0.2391,13.699420881577984,0.1407,8.061516177490683
D4,0.1352,7.746389390168729,0.1601,9.173054300044479,0.675,38.674651171330574,0.3234,18.529455094530825
D5,1.421,81.41730268808999,0.1764,10.106975506107721,0.7092,40.634166830677984,0.7689,44.054724867608996
D6,0.131,7.505747116213785,0.1438,8.23913309398124,0.441,25.267438765269304,0.2386,13.670772991821442
OVERALL_MEAN,0.31355,17.965091666326963,0.11793333333333333,6.757082263909509,0.4115333333333333,23.579123128950478,0.28099999999999997,16.10011404317613
