Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0397,2.274642446669368,0.0303,1.7360621192463943,0.1315,7.5343950059703255,0.0672,3.850276383279132
D2,0.0299,1.7131438074411613,0.029,1.6615776058793874,0.0772,4.423234178409956,0.0454,2.6012283898939375
D3,0.0403,2.3090199143772177,0.049,2.807493196141034,0.1867,10.69712203509247,0.092,5.271211715203574
D4,0.4262,24.419461228475686,0.0453,2.595498811942629,0.4018,23.021444208356478,0.2911,16.678801416258267
D5,0.1888,10.817443172069943,0.0697,3.9935158320618376,0.2822,16.16886897859183,0.1802,10.324699468257435
D6,1.5459,88.57354554927396,0.1949,11.166947427099744,1.7907,102.59955237407651,1.1772,67.44859164280051
OVERALL_MEAN,0.3784666666666667,21.684542686384557,0.0697,3.9935158320618376,0.47835,27.407436130082928,0.30885,17.695801502615478
