Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0528,3.0252171582907468,0.0618,3.5408791739084875,0.1702,9.751741673126611,0.0949,5.437369475791512
D2,0.0418,2.394963583646841,0.0492,2.81895235204365,0.1845,10.57107132016369,0.0918,5.259752559300957
D3,0.0735,4.211239794211551,0.0858,4.915977882222464,0.2104,12.055032009552521,0.1232,7.058840036011742
D4,0.1182,6.772361138446331,0.1395,7.992761242074985,0.6025,34.5207071566321,0.2867,16.426699986400703
D5,1.258,72.07809062745756,0.154,8.823550045014677,0.635,36.38281999080728,0.6823,39.09291036177607
D6,0.114,6.531718864491385,0.1255,7.190620328891831,0.3925,22.48859345888481,0.2107,12.072220743406445
OVERALL_MEAN,0.27638333333333337,15.835598527757405,0.10263333333333335,5.88045683735935,0.36585,20.961660934861168,0.24826666666666672,14.224632193781241
