Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0504,2.887707287459349,0.0592,3.3919101471744737,0.164,9.396507840145501,0.0912,5.225375091593108
D2,0.0398,2.2803720246206765,0.0471,2.6986312150661775,0.178,10.198648753328653,0.0883,5.059217331005169
D3,0.0705,4.0393524556723035,0.0825,4.726901809829291,0.2025,11.60239535139917,0.1185,6.789549872300255
D4,0.113,6.474423084978302,0.1338,7.666175298850415,0.584,33.46073523564007,0.2769,15.865201347172494
D5,1.215,69.61437210839503,0.1478,8.468316212033567,0.618,35.408791739084876,0.6603,37.83240321248826
D6,0.109,6.245239966925973,0.1202,6.886952697472496,0.379,21.7151004354582,0.2027,11.613854507301786
OVERALL_MEAN,0.26628333333333337,15.256911154675274,0.09843333333333333,5.6398145634044035,0.35424999999999995,20.29702989250941,0.23965,13.730933560310179
