Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0242,1.386557864216592,0.0381,2.182969199448437,0.0884,5.064946908956478,0.0502,2.8762481315567325
D2,0.021,1.2032113697747289,0.0322,1.8449241003212509,0.0722,4.136755280844544,0.0418,2.394963583646841
D3,0.0412,2.360586115938992,0.051,2.9220847551671985,0.114,6.531718864491385,0.0687,3.9362200525487556
D4,0.074,4.2398876839680915,0.0815,4.66960603031621,0.412,23.605861159389917,0.1892,10.840361483875176
D5,1.182,67.7236113844633,0.089,5.099324376664327,0.485,27.788453063844926,0.5853,33.535219749007084
D6,0.062,3.552338329811104,0.074,4.2398876839680915,0.221,12.662367272391194,0.119,6.818197762056796
OVERALL_MEAN,0.23406666666666667,13.411032124695469,0.06096666666666666,3.493132690980919,0.2321,13.298350424986408,0.1757,10.066868460448564
