Dataset,Roll_RMSE_rad,Roll_RMSE_deg,Pitch_RMSE_rad,Pitch_RMSE_deg,Yaw_RMSE_rad,Yaw_RMSE_deg,3D_Avg_RMSE_rad,3D_Avg_RMSE_deg
D1,0.0325,1.8621128341751756,0.0361,2.068377640422272,0.13,7.448451336700702,0.0662,3.7929806037660496
D2,0.0394,2.2574537128154435,0.0421,2.4121523175007655,0.0748,4.285724307578558,0.0521,2.985110112631589
D3,0.0625,3.580986219567645,0.0351,2.0110818609091896,0.1795,10.284592422598276,0.0924,5.294130027008807
D4,0.4211,24.127252752958963,0.0465,2.664253747358328,0.4082,23.388137197240205,0.292,16.730367617820036
D5,0.2079,11.911792560769815,0.0652,3.735684824252967,0.3289,18.84458188185278,0.2007,11.499262948275621
D6,0.8605,49.30301827100734,0.2278,13.051978573080154,0.8625,49.417609830033506,0.6503,37.25944541735743
OVERALL_MEAN,0.27065,15.50710272521573,0.07546666666666667,4.323921493920612,0.33065,18.94484949600067,0.22561666666666666,12.926882787809923
